nombre;tipo;web;ciudad;estado;preparado;contactado;respuesta;notas
Fantasticfy;agencia;https://www.fantasticfy.com/;Barcelona;contactado;2026-08-21;2026-08-21;;formulario https://www.fantasticfy.com/contacto (correo publico hi@fantasticfy.com)
Numericco;agencia;https://numericco.com/;Zaragoza/Madrid;contactado;2026-08-21;2026-08-21;;formulario no carga, contactado por correo publico hola@numericco.com
Soy.es;agencia;https://soy.es/;Cordoba;contactado;2026-08-21;2026-08-21;;sin formulario localizado, correo publico info@soy.es
Lyra;agencia;https://lyra.digital/;Madrid;contactado;2026-08-21;2026-08-21;;sin formulario localizado, correo publico hi@lyra.digital
Moddo;agencia;https://moddo.com/;Madrid;contactado;2026-08-21;2026-08-21;;formulario https://moddo.com/contacto/
Nitsnets;agencia;https://nitsnets.com/;Alicante;contactado;2026-08-21;2026-08-21;;formulario https://www.nitsnets.com/en/contact
Migraciones.io;agencia;https://migraciones.io/;Madrid;contactado;2026-08-21;2026-08-21;;formulario https://migraciones.io/pages/contacto
Ebolution;agencia;https://ebolution.com/;Madrid;preparado;2026-08-21;;;formulario da error al enviar, info@ebolution.com rebota (direccion inexistente), pendiente verificar correo real en su web
Trilogi;agencia;https://trilogi.com/;Igualada (Barcelona);descartado;;;;25 anos, 700+ clientes, foco Shopify Plus/DTC B2B - agencia grande citada explicitamente en agencias.md como fuera de perfil
Webimpacto;agencia;https://webimpacto.consulting/;Mostoles (Madrid), tambien Barcelona/Sevilla/Elche;preparado;2026-08-24;;;formulario https://webimpacto.consulting/contacto/
Cloud District;agencia;https://clouddistrict.com/;Madrid;descartado;;;;consultora de producto digital para grandes marcas (LaLiga, BBVA, Naturgy, Netflix), no es agencia Shopify de pymes
Ecommedia;agencia;https://ecommedia.es/;Elche (Alicante);preparado;2026-08-24;;;formulario https://ecommedia.es/en/contact-us/
Bihotz Studio;agencia;https://www.bihotz-studio.com/;Sabadell (Barcelona);pendiente;;;;Shopify Plus partner, Bihotz Studio SL en Calle de les Tres Creus 236, constituida en enero de 2024 - los correos (info@bihotz-studio.com) solo aparecen en directorios de terceros (Informa, Empresite), sin confirmar publicados en su propia web ni formulario propio - 2026-08-26: segundo dia con la web bloqueada por el proxy de red, sigue sin resolver, verificar visitando la web - 2026-08-27: tercer dia bloqueada, pero hoy se confirmo que el bloqueo es total del entorno (ni emite.es, ni wikipedia.org, ni example.com cargan; curl directo tambien rechazado con 403), no un bloqueo especifico de este dominio - reintentar cuando el acceso a internet del entorno funcione - 2026-08-28: cuarto dia, mismo bloqueo total confirmado de nuevo (curl y WebFetch rechazados en bihotz-studio.com, emite.es y wikipedia.org por igual; WebSearch si funciona pero no permite verificar formulario/correo en su propia web), tercer dia consecutivo sin poder ejecutar la ronda de captacion - revisar la politica de red del entorno - 2026-08-31: bloqueo total confirmado otra vez (WebFetch y curl rechazados con 403 en bihotz-studio.com, emite.es, google.com, wikipedia.org y example.com por igual; WebSearch si funciona pero no sirve para verificar formulario/correo en la web propia de la empresa) - cuarta ronda de captacion perdida por este motivo, es la tercera vez en cinco dias habiles - reintentar cuando el acceso a internet del entorno funcione - 2026-09-01: quinto bloqueo confirmado (curl CONNECT rechazado 403 y WebFetch EGRESS_BLOCKED en bihotz-studio.com, example.com y emite.es por igual; WebSearch sigue funcionando pero solo devuelve directorios de terceros, no la web propia) - quinta ronda de captacion perdida, cuarta vez en siete dias habiles - el problema es la politica de red del entorno, no el dominio - conviene que una persona revise la configuracion de red de este entorno programado en vez de reintentar en automatico - 2026-09-02: sexto bloqueo confirmado (curl CONNECT rechazado 403 y WebFetch EGRESS_BLOCKED en bihotz-studio.com y example.com por igual; WebSearch sigue funcionando pero solo devuelve directorios de terceros -Empresite, eInforma, Iberinform, Informa, Axesor, DatosCif-, no la web propia) - sexta ronda de captacion perdida, quinta vez en ocho dias habiles - como es el unico objetivo pendiente en el CSV, tambien impidio ampliar la lista con gestorias nuevas (verificar formulario/correo en su propia web exige WebFetch, que sigue bloqueado) - se notifica al usuario porque el bloqueo lleva ya cinco sesiones seguidas sin resolverse solo - 2026-09-03: septimo bloqueo confirmado (curl CONNECT rechazado 403 y WebFetch EGRESS_BLOCKED en bihotz-studio.com, emite.es, google.com y example.com por igual, bloqueo total del entorno no especifico de un dominio; WebSearch sigue funcionando pero solo devuelve los mismos directorios de terceros) - septima ronda de captacion perdida, sexta vez en nueve dias habiles - sigue siendo el unico pendiente del CSV y sigue impidiendo tambien ampliar la lista con gestorias nuevas - se notifica de nuevo al usuario, es la segunda semana completa con este bloqueo sin resolver - 2026-09-04: octavo bloqueo confirmado (curl CONNECT rechazado 403 con "gateway answered 403 to CONNECT" y WebFetch EGRESS_BLOCKED en bihotz-studio.com y example.com por igual, estado del proxy confirmado via /__agentproxy/status; WebSearch sigue funcionando pero solo devuelve los mismos directorios de terceros, no la web propia) - octava ronda de captacion perdida, septima vez en diez dias habiles - sigue siendo el unico pendiente del CSV y sigue impidiendo tambien ampliar la lista con gestorias nuevas - se notifica de nuevo al usuario, ya es la tercera semana con este bloqueo sin resolver, conviene que alguien revise la politica de red del entorno programado en vez de seguir reintentando en automatico - 2026-09-07: noveno bloqueo confirmado (curl CONNECT rechazado 403 con "gateway answered 403 to CONNECT" y WebFetch EGRESS_BLOCKED en bihotz-studio.com, emite.es y example.com por igual, estado del proxy confirmado via /__agentproxy/status con recentRelayFailures vacio, es decir el proxy se cree sano pero bloquea toda conexion HTTPS de todos modos; WebSearch sigue funcionando pero solo devuelve los mismos directorios de terceros, no la web propia) - novena ronda de captacion perdida, octava vez en doce dias habiles - sigue siendo el unico pendiente del CSV y sigue impidiendo tambien ampliar la lista con gestorias nuevas porque verificar formulario/correo en la web propia de cualquier gestoria nueva exige WebFetch, que sigue bloqueado - se notifica de nuevo al usuario por push, van ya cuatro semanas de calendario con este bloqueo sin resolver, no se puede seguir intentando en automatico: hace falta que una persona revise la politica de red de este entorno programado - 2026-09-08: decimo bloqueo confirmado (curl CONNECT rechazado 403 con "gateway answered 403 to CONNECT" y WebFetch EGRESS_BLOCKED en bihotz-studio.com, emite.es y example.com por igual, estado del proxy confirmado via /__agentproxy/status con recentRelayFailures vacio; WebSearch sigue funcionando pero solo devuelve directorios de terceros y redes sociales, no la web propia) - decima ronda de captacion perdida, novena vez en trece dias habiles - sigue siendo el unico pendiente del CSV y sigue impidiendo tambien ampliar la lista con gestorias nuevas - se notifica de nuevo al usuario por push: llevamos mas de cuatro semanas de calendario con este bloqueo sin resolver, hace falta que una persona revise la politica de red de este entorno programado en vez de seguir reintentando en automatico - 2026-09-09: undecimo bloqueo confirmado (curl CONNECT rechazado 403 con "gateway answered 403 to CONNECT" y WebFetch EGRESS_BLOCKED en bihotz-studio.com y emite.es por igual, estado del proxy confirmado via /__agentproxy/status con recentRelayFailures mostrando ambos rechazos; WebSearch sigue funcionando y localiza paginas del dominio propio, ej. bihotz-studio.com/en, pero sin WebFetch no se puede leer su contenido para confirmar formulario/correo) - undecima ronda de captacion perdida, decima vez en catorce dias habiles - sigue siendo el unico pendiente del CSV y sigue impidiendo ampliar la lista con gestorias nuevas - tercera semana natural completa con este bloqueo sin resolver, se notifica de nuevo al usuario por push - 2026-09-10: duodecimo bloqueo confirmado (curl CONNECT rechazado 403 con "CONNECT tunnel failed, response 403" y WebFetch EGRESS_BLOCKED en bihotz-studio.com y example.com por igual, estado del proxy confirmado via /__agentproxy/status con recentRelayFailures vacio; WebSearch sigue funcionando y devuelve solo directorios de terceros -Empresite, Iberinform, eInforma, Informa, DatosCif- e Instagram, no la web propia) - duodecima ronda de captacion perdida, undecima vez en quince dias habiles - sigue siendo el unico pendiente del CSV y sigue impidiendo ampliar la lista con gestorias nuevas - van ya doce sesiones programadas seguidas con este bloqueo total del entorno sin resolver, se notifica de nuevo al usuario por push - 2026-09-11: decimotercer bloqueo confirmado (curl CONNECT rechazado 403 "CONNECT tunnel failed, response 403" y WebFetch EGRESS_BLOCKED en bihotz-studio.com y emite.es por igual, estado del proxy confirmado via /__agentproxy/status con recentRelayFailures registrando el rechazo a example.com; WebSearch sigue funcionando pero solo devuelve los mismos directorios de terceros e Instagram, no la web propia) - decimotercera ronda de captacion perdida, duodecima vez en dieciseis dias habiles - sigue siendo el unico pendiente del CSV y sigue impidiendo ampliar la lista con gestorias nuevas porque verificarlas exige WebFetch, que sigue bloqueado - nota aparte: se detecto que las sesiones de 2026-09-09 y 2026-09-10 habian dejado su commit en un HEAD separado sin fusionar a la rama main local; esta sesion lo fusiono por fast-forward y confirmo que el push ya habia llegado a origin en su momento, sin perdida de datos, pero conviene que cada sesion parta de main y no de un HEAD suelto - se notifica de nuevo al usuario por push, van mas de cinco semanas de calendario con este bloqueo sin resolver - 2026-09-14: decimocuarto bloqueo confirmado (curl CONNECT rechazado 403 en example.com y WebFetch EGRESS_BLOCKED en bihotz-studio.com y emite.es por igual, estado del proxy confirmado via /__agentproxy/status; WebSearch sigue funcionando pero solo devuelve directorios de terceros e Instagram, no la web propia) - decimocuarta ronda de captacion perdida, sigue siendo el unico pendiente del CSV y sigue impidiendo ampliar la lista con gestorias nuevas porque verificarlas exige WebFetch, que sigue bloqueado - el bloqueo lleva desde 2026-08-26 sin resolverse, ya casi tres semanas naturales de calendario y varias sesiones sin ejecutarse por caer en fin de semana - se notifica de nuevo al usuario por push, hace falta que una persona revise la politica de red de este entorno programado en vez de seguir reintentando en automatico - 2026-09-15: decimoquinto bloqueo confirmado (curl CONNECT rechazado 403 "CONNECT tunnel failed, response 403" y WebFetch EGRESS_BLOCKED en bihotz-studio.com, emite.es y example.com por igual, estado del proxy confirmado via /__agentproxy/status con recentRelayFailures vacio; WebSearch sigue funcionando pero solo devuelve los mismos directorios de terceros e Instagram, no la web propia) - decimoquinta ronda de captacion perdida, sigue siendo el unico pendiente del CSV y sigue impidiendo ampliar la lista con gestorias nuevas porque verificarlas exige WebFetch, que sigue bloqueado - tres semanas naturales completas con este bloqueo sin resolver desde 2026-08-26 - antes de esta sesion el commit de 2026-09-14 habia quedado otra vez en HEAD separado sin fusionar a main local (aunque ya estaba en origin); esta sesion lo fusiono por fast-forward - se notifica de nuevo al usuario por push, hace falta que una persona revise la politica de red de este entorno programado en vez de seguir reintentando en automatico - 2026-09-16: decimosexto bloqueo confirmado (curl CONNECT rechazado 403 en example.com y WebFetch EGRESS_BLOCKED en bihotz-studio.com por igual, estado del proxy confirmado via /__agentproxy/status con recentRelayFailures registrando el rechazo, WebSearch sigue funcionando pero solo devuelve directorios de terceros -Empresite, Iberinform, eInforma, Informa, DatosCif- e Instagram, no la web propia) - decimosexta ronda de captacion perdida, tres semanas naturales completas con este bloqueo sin resolver desde 2026-08-26, sigue siendo el unico pendiente del CSV y sigue impidiendo ampliar la lista con gestorias nuevas porque verificarlas exige WebFetch, que sigue bloqueado - ademas se encontro HEAD local desacoplado de main otra vez al iniciar la sesion (el commit de 2026-09-15 no estaba fusionado localmente aunque si en origin), se corrigio con fast-forward antes de continuar - se notifica de nuevo al usuario por push
Metodica;agencia;https://www.metodica.digital/;;descartado;;;;2026-08-26 descartado: confirmado en dos sesiones que el dominio localizado figura en el Wix Marketplace como especialista Wix, sin evidencia de que trabajen con Shopify
Next Ecommerce;agencia;https://next-ecommerce.com/;Madrid, tambien Barcelona;descartado;;;;integra Shopify Plus con SAP/Dynamics/Oracle NetSuite para B2B - clientes ya facturan por ERP
Ohdigital;agencia;https://ohdigital.eu/;sin confirmar (agencia online, opera en toda España);preparado;2026-08-24;;;formulario https://ohdigital.eu/pages/contacto-shopify
Ossom;agencia;https://www.ossom.agency/;Barcelona;preparado;2026-08-24;;;formulario https://www.ossom.agency/contacto
Ovixia;agencia;https://www.ovixia.com/;A Coruña;descartado;;;;2026-08-25 descartado: consultora ERP/CRM/CMS que conecta Shopify Plus con ERP, CRM y WMS para marcas en transformacion, mismo perfil que Next Ecommerce (clientes que ya facturan por ERP) - se localizo un contacto general (contact@ovixia.com) pero el perfil de cliente no encaja
Reduncle Agency;agencia;https://reduncle.es/;Valencia, tambien Barcelona/Granada;preparado;2026-08-24;;;formulario https://reduncle.es/pages/contact
Shopigurus;agencia;https://shopigurus.com/;Madrid;preparado;2026-08-24;;;formulario https://www.shopigurus.com/contacto
Vectoriam;agencia;https://vectoriam.com/;Madrid;descartado;;;;2026-08-25 descartado: Shopify Plus Partner desde 2019, clientes en B2B, moda, electronica y joyeria, headless commerce y personalizacion de checkout - perfil de cliente grande, no pyme
We're Sinapsis;agencia;https://somosinapsis.com/;Barcelona;descartado;;;;2026-08-25 descartado: confirmado que somosinapsis.com es la web vigente (registro mercantil y directorio de Shopify Partners coinciden), pero son Shopify Plus Partner, agencia 360 de 20 empleados aliada con Adobe/Magento - perfil de agencia grande multiplataforma, no encaja con pymes Shopify
Linea Grafica;agencia;https://www.lineagrafica.es/;Sevilla;descartado;;;;2026-08-25 descartado: confirmado Shopify Premier Partner (nivel maximo), tambien Google Premier Partner y Amazon Ads Partner - mismo perfil enterprise que los 5 Premier Partners excluidos explicitamente en agencias.md
Maktagg;agencia;https://maktagg.com/;Barcelona, tambien Madrid;preparado;2026-08-24;;;formulario https://maktagg.com/contacto/
Attomo Digital;agencia;https://attomo.digital/;Madrid;preparado;2026-08-26;;;formulario https://attomo.digital/contacto (verificado por busqueda, pagina propia), consultora tecnologica en Calle del Monte Esquinza 8, nacida para digitalizar pymes, Shopify Partner con ficha en el directorio oficial: monta tiendas desde cero y migra de otras plataformas - tambien hace Webflow, pero la linea Shopify sigue viva
CSengine;agencia;https://www.csengine.net/;Barcelona;preparado;2026-08-25;;;formulario https://www.csengine.net/contacto/ (verificado por busqueda, pagina propia, no se pudo abrir directamente por bloqueo de red), agencia con 20+ anos de experiencia en Shopify, Shopware y Magento, sede en Calle San Eusebio 69
Inforges;agencia;https://inforges.es/;Murcia;preparado;2026-08-24;;;formulario https://inforges.es/contactanos/
Philos IT;agencia;;;descartado;;;;2026-08-26 descartado: tercer intento sin localizar web ni dominio propio - sin web propia no hay formulario ni correo publicado, no cumple la regla LSSI - reabrir si aparece el nombre exacto de la empresa
Upango Consulting;agencia;https://upango.es/;varias sedes (Barcelona, Bilbao, Sevilla, Murcia);descartado;;;;2026-08-25 descartado: Shopify Plus Partner que se posiciona explicitamente como "expertos en Shopify B2B" con paginas dedicadas por ciudad - perfil B2B, no pyme
Trevenque Group;agencia;https://www.trevenque.es/;Granada;descartado;;;;2026-08-25 descartado: grupo tecnologico de 30+ anos con tres lineas de negocio (Cloud, Marketing, Development), se describe como compania B2B, trabaja con PrestaShop/Shopify/WooCommerce sin foco especifico en pymes - perfil de gran consultora generalista
Moraleda Gestion;gestoria;https://moraledagestion.com/;Ocaña (Toledo);preparado;2026-08-25;;;formulario https://moraledagestion.com/en/contact/ (verificado por busqueda, pagina propia), gestoria multidisciplinar para autonomos y empresas, trabaja con vendedores en varias plataformas incluido Shopify
Fiscaliti;gestoria;https://fiscalitiasesores.com/;Zaragoza;preparado;2026-08-25;;;formulario https://fiscalitiasesores.com/contacto/ , asesoria fiscal especializada en ecommerce y Amazon, mas de 300 negocios digitales, gestiona IVA/OSS y clientes en Shopify y WooCommerce
GestyMas;gestoria;https://gestymas.com/;Madrid;preparado;2026-08-25;;;formulario https://gestymas.com/contacto/ , gestoria administrativa con servicio especializado de contabilidad y fiscalidad para ecommerce
You Asesoria;gestoria;https://www.youasesoria.com/;El Puerto de Santa Maria (Cadiz), servicio online nacional;preparado;2026-08-25;;;formulario https://www.youasesoria.com/contacto/ , asesoria fiscal laboral y contable con servicio especifico de asesoria para ecommerce
GestiFis;gestoria;https://gestifis.com/;Madrid (Canillejas y Las Rosas);preparado;2026-08-25;;;formulario https://gestifis.com/contacto/ , gestoria especializada en ecommerce y negocios digitales, control de IVA y modelos trimestrales
Datali Group;gestoria;https://dataligroup.com/;Mataro (Barcelona);preparado;2026-08-25;;;sin formulario propio localizado, correo publico info@dataligroup.com , gestoria fiscal y contable especializada en Amazon, marketplaces y ecommerce
Asser Asesores;gestoria;https://asserasesores.es/;Perillo - Oleiros (A Coruña);preparado;2026-08-26;;;formulario https://asserasesores.es/contactanos/ (verificado por busqueda, pagina propia), asesoria fiscal laboral y contable desde 1978 con linea de comercio online que nombra Shopify, PrestaShop, WooCommerce y Miravia, lleva IVA europeo y ventanilla unica OSS - su web de ecommerce es asserasesores.com
Openges;gestoria;https://www.openges.es/;Alcala de Guadaira (Sevilla);preparado;2026-08-26;;;formulario https://openges.es/contacto/ (verificado por busqueda, pagina propia), asesoria online fiscal contable laboral y mercantil nacida en 2013, con linea propia de gestoria ecommerce (openges.es/asesoria/ecommerce/) para autonomos y pymes
ARRA Asesores;gestoria;https://arraasesores.com/;Madrid;preparado;2026-08-26;;;formulario https://arraasesores.com/contacto/ (verificado por busqueda, pagina propia), asesoria y gestoria online fundada en 2020 en Calle Viriato 8, gestoria ecommerce 100% online y clientela de negocios digitales
Asocommerce;gestoria;https://asocommerce.com/;Zaragoza;preparado;2026-08-26;;;formulario https://asocommerce.com/contacto-gestoria/ (verificado por busqueda, pagina propia), asociacion de comercio electronico en Avenida Independencia 8 que ademas presta gestion administrativa contable y financiera a tiendas online y marketplaces
Ager & Co;gestoria;https://www.ager-co.com/;Madrid;preparado;2026-08-26;;;formulario https://ager-co.com/contacto (verificado por busqueda, pagina propia), asesoria fiscal contable y laboral con mas de 10 anos, paginas propias de asesoria para ecommerce y para dropshipping, Camino de los Vinateros 106
Asepyme;gestoria;https://asepyme.com/;Valencia;preparado;2026-08-26;;;formulario https://asepyme.com/contacto-asepyme-valencia/ (verificado por busqueda, pagina propia), despacho de abogados y asesores desde 1986 en Calle Jativa 10, con pagina dedicada a asesoria fiscal para ecommerce
Entre Tramites;gestoria;https://entretramites.com/;Madrid (servicio online nacional);preparado;2026-08-26;;;formulario https://entretramites.com/contacto (verificado por busqueda, pagina propia), asesoria 100% online para pymes autonomos emprendedores y extranjeros en España, con pagina propia de impuestos para ecommerce (entretramites.com/ecommerce-espana)
